Transaction Date,Post Date,Description,Category,Type,Amount,Memo
11/15/2024,11/17/2024,BARNES &amp; NOBLE 2353,Shopping,Sale,-29.21,
11/15/2024,11/17/2024,H-E-B  #621,Groceries,Sale,-94.82,
11/16/2024,11/17/2024,TST* BREVITY COFFEE 18 -,Food & Drink,Sale,-5.13,
11/16/2024,11/17/2024,PAYPAL *WALMART COM,Groceries,Return,5.48,
11/14/2024,11/17/2024,CIRCLE K #2741060,Gas,Sale,-84.38,
11/15/2024,11/17/2024,GOOGLE *NEST,Shopping,Sale,-85.28,
11/14/2024,11/17/2024,CIRCLE K #2741060,Gas,Sale,-3.69,
11/15/2024,11/17/2024,SP GQ BOX,Shopping,Sale,-62.99,
11/14/2024,11/15/2024,SP BUTCHERBOX,Groceries,Sale,-169.00,
11/14/2024,11/15/2024,LOWES #02480*,Home,Sale,-36.70,
11/13/2024,11/15/2024,STARBUCKS STORE 18298,Food & Drink,Sale,-9.42,
11/13/2024,11/15/2024,TST*TARDIFS AMERICAN BR,Food & Drink,Sale,-249.70,
11/13/2024,11/14/2024,Hiatus - San Antonio,Health & Wellness,Sale,-89.00,
11/12/2024,11/14/2024,10156 CAVA THE RIM,Food & Drink,Sale,-20.35,
11/12/2024,11/14/2024,HEMISFAIR PARK AREA  RED,Travel,Sale,-14.00,
11/13/2024,11/14/2024,H-E-B #618,Groceries,Sale,-26.75,
11/12/2024,11/13/2024,PAYPAL *GRUBHUBFOOD POSTI,Food & Drink,Sale,-4.72,
11/12/2024,11/13/2024,PAYPAL *GRUBHUBFOOD POSTI,Food & Drink,Sale,-11.27,
11/12/2024,11/13/2024,APPLE.COM/BILL,Shopping,Sale,-9.99,
11/12/2024,11/12/2024,Payment Thank You-Mobile,,Payment,1667.00,
11/11/2024,11/12/2024,PANDORA 218409,Shopping,Sale,-114.74,
11/11/2024,11/12/2024,MACYS  LACANTERA,Shopping,Sale,-50.00,
11/11/2024,11/12/2024,H-E-B ONLINE #108,Groceries,Sale,-251.61,
11/10/2024,11/11/2024,PAYPAL *AIRBNB  HM2DZWCC4,Travel,Sale,-119.90,
11/09/2024,11/11/2024,CIRCLE K #2741058,Gas,Sale,-43.44,
11/09/2024,11/11/2024,TST*GREY MOSS INN,Food & Drink,Sale,-140.10,
11/10/2024,11/11/2024,WINGSTOP 2359,Food & Drink,Sale,-3.67,
11/10/2024,11/11/2024,MI PUEBLO MEXICAN BAKERY,Food & Drink,Sale,-15.33,
