Transaction Date,Post Date,Description,Amount,Category,Account
11/13/2023,11/13/2023,yeti,51.96,spend,
11/13/2023,11/13/2023,bally,19.99,recurring,
11/12/2023,11/12/2023,barnes and noble,7.77,spend,
11/12/2023,11/12/2023,barnes and noble,9.73,spend,
11/12/2023,11/12/2023,barnes and noble,19.47,spend,
11/12/2023,11/12/2023,whiskey cake,109.62,spend,
11/11/2023,11/11/2023,blanco,58.75,spend,
11/11/2023,11/11/2023,circle k,75.00,spend,
11/28/2024,11/28/2024,bounce,4.99,spend,
11/14/2023,11/14/2023,seamless,8.10,spend,
11/15/2023,11/15/2023,Table,234.00,spend,
11/15/2023,11/15/2023,chick fil a,11.03,spend,
11/12/2023,11/12/2023,heb,227.54,groceries,
11/12/2023,11/12/2023,heb,180.65,groceries,
11/14/2023,11/14/2023,united,408.62,reimburseable,WORK
11/12/2023,11/12/2023,egencia fee,6.00,reimburseable,WORK
11/15/2023,11/15/2023,usaa,4.00,recurring,
11/16/2023,11/16/2023,the bevy,27.73,spend,
11/16/2023,11/16/2023,paleta,3.52,spend,
11/10/2023,11/10/2023,yeti,-45.47,spend,
11/17/2023,11/17/2023,google fi,75.68,recurring,
11/17/2023,11/17/2023,diana,100.00,diana,
11/17/2023,11/17/2023,free roam brewing,35.81,spend,
11/18/2023,11/18/2023,Walgreens,5.99,spend,
11/19/2023,11/19/2023,whole foods,7.58,spend,
11/19/2023,11/19/2023,whole foods,142.68,split,
11/19/2023,11/19/2023,,30.00,spend,
11/19/2023,11/19/2023,,112.68,groceries,
11/19/2023,11/19/2023,amazon kids,5.32,recurring,
11/07/2023,11/07/2023,homedepot,-245.73,spend,
11/18/2023,11/18/2023,apple burn,5.40,spend,
11/20/2023,11/20/2023,heb,165.46,groceries,
11/20/2023,11/20/2023,robinhood,100.00,investing,
11/21/2023,11/21/2023,honda,88.05,spend,
11/21/2023,11/21/2023,uber eats,28.07,spend,
11/20/2023,11/20/2023,heb,-19.93,groceries,
11/21/2023,11/21/2023,heb,31.88,groceries,
11/21/2023,11/21/2023,parking,1.50,spend,
11/21/2023,11/21/2023,walmart,6.98,groceries,
11/21/2023,11/21/2023,lulu boba,8.10,spend,
11/21/2023,11/21/2023,Farm connection,45.32,groceries,
11/22/2023,11/22/2023,Walmart,45.91,spend,
11/22/2023,11/22/2023,Las guitarras,13.75,spend,
11/25/2023,11/25/2023,whole fods,141.21,groceries,
11/26/2023,11/26/2023,disney,15.11,recurring,
11/26/2023,11/26/2023,Google storage,10.65,recurring,
11/24/2023,11/24/2023,chicken fil a,35.25,spend,
11/24/2023,11/24/2023,Circle k,73.79,spend,
11/24/2023,11/24/2023,Circle k ,21.41,spend,
11/24/2023,11/24/2023,starbucks,10.00,spend,
11/24/2023,11/24/2023,market st,11.47,spend,
11/24/2023,11/24/2023,United express,98.05,spend,vacation 
11/24/2023,11/24/2023,chevron,24.62,spend,
11/24/2023,11/24/2023,starbucks,25.00,spend,
11/25/2023,11/25/2023,kohls,34.72,spend,
11/25/2023,11/25/2023,kohls,13.85,spend,
