Transaction Date,Post Date,Description,Category,Type,Amount,Memo
10/27/2024,10/28/2024,Whole Foods VND 10444,Groceries,Sale,-147.70,
10/27/2024,10/28/2024,Whole Foods VND 10444,Groceries,Sale,-53.97,
10/26/2024,10/27/2024,Payment Thank You-Mobile,,Payment,440.00,
10/24/2024,10/25/2024,AMAZON MKTPL*JI1DD6SO3,Shopping,Sale,-14.06,
10/16/2024,10/17/2024,AMAZON MKTPL*H25BA02N3,Shopping,Sale,-18.37,
10/16/2024,10/17/2024,AMAZON MKTPL*S20FU10T3,Shopping,Sale,-5.19,
10/13/2024,10/14/2024,Whole Foods VND 10444,Groceries,Sale,-29.16,
10/12/2024,10/13/2024,Amazon.com,Shopping,Return,182.93,
10/11/2024,10/11/2024,Payment Thank You-Mobile,,Payment,192.76,
10/08/2024,10/09/2024,Amazon.com*ZI8JF1630,Shopping,Sale,-15.13,
10/04/2024,10/06/2024,AMAZON MKTPLACE PMTS,Shopping,Return,20.56,
10/04/2024,10/06/2024,Audible*KM9WX5ZZ3,Bills & Utilities,Sale,-16.18,
10/03/2024,10/04/2024,Amazon.com*340710PU3,Shopping,Sale,-182.93,
10/01/2024,10/02/2024,Prime Video Channels,Shopping,Sale,-18.39,
10/02/2024,10/02/2024,AMAZON MKTPL*JB9KT9CL3,Shopping,Sale,-16.23,
10/01/2024,10/02/2024,Amazon.com*G41FG1J03,Shopping,Sale,-173.15,
10/01/2024,10/02/2024,Prime Video Channels,Shopping,Sale,-5.40,
09/30/2024,10/01/2024,Amazon Kids+*U60J79RD3,Shopping,Sale,-6.39,
09/30/2024,10/01/2024,Amazon.com*ED1V16JW3,Shopping,Sale,-86.42,
09/30/2024,10/01/2024,AMAZON MKTPL*PQ0IA0XP3,Shopping,Sale,-17.31,
09/29/2024,09/30/2024,Whole Foods VND 10444,Groceries,Sale,-51.05,
09/29/2024,09/30/2024,AMAZON MKTPL*MU8ZE1633,Shopping,Sale,-13.94,
09/29/2024,09/30/2024,AMAZON MKTPL*D14EF0973,Shopping,Sale,-62.76,
09/29/2024,09/30/2024,Amazon.com*CZ9552B53,Shopping,Sale,-20.49,
09/29/2024,09/30/2024,Whole Foods VND 10444,Groceries,Sale,-15.16,
09/27/2024,09/27/2024,Payment Thank You - Web,,Payment,215.00,
09/24/2024,09/25/2024,AMAZON MKTPL*X58G24EQ3,Shopping,Sale,-20.56,
09/22/2024,09/23/2024,Whole Foods VND 10444,Groceries,Sale,-13.07,
09/18/2024,09/19/2024,AMAZON MKTPLACE PMTS,Shopping,Return,14.06,
09/13/2024,09/15/2024,AMAZON MKTPL*YL3ZY21T3,Shopping,Sale,-14.06,
09/15/2024,09/15/2024,Amazon.com*0X4BK3TY3,Shopping,Sale,-21.41,
09/13/2024,09/13/2024,Payment Thank You - Web,,Payment,518.64,
09/13/2024,09/13/2024,Amazon.com*SJ2P25JF3,Shopping,Sale,-14.39,
09/12/2024,09/12/2024,AMAZON MKTPL*9N5QN5M13,Shopping,Sale,-10.81,
09/12/2024,09/12/2024,AMAZON MKTPL*3385B07M3,Shopping,Sale,-7.03,
09/11/2024,09/11/2024,AMAZON MKTPL*Z881S30V0,Shopping,Sale,-6.22,
09/04/2024,09/04/2024,Audible*ZT44V8LA1,Bills & Utilities,Sale,-16.18,
09/01/2024,09/02/2024,Prime Video Channels,Shopping,Sale,-5.40,
09/01/2024,09/02/2024,Prime Video Channels,Shopping,Sale,-18.39,
08/31/2024,09/01/2024,Amazon Kids+*RK6687YQ2,Shopping,Sale,-6.39,
08/30/2024,08/30/2024,Payment Thank You-Mobile,,Payment,515.00,
08/28/2024,08/29/2024,AMZN Mktp US,Shopping,Return,149.34,
08/22/2024,08/23/2024,AMZN Mktp US,Shopping,Return,171.02,
08/18/2024,08/19/2024,Whole Foods VND 10444,Groceries,Sale,-53.50,
08/16/2024,08/18/2024,Amazon Prime*RU1MZ58K2,Bills & Utilities,Sale,-150.47,
08/15/2024,08/16/2024,AMZN Mktp US*RU8EX9LD1,Shopping,Sale,-149.34,
08/14/2024,08/15/2024,Amazon.com,Shopping,Return,19.22,
08/14/2024,08/15/2024,AMZN Mktp US*RU2VW7NL2,Shopping,Sale,-171.02,
08/13/2024,08/13/2024,Amazon.com*RM2MO6D71,Shopping,Sale,-116.90,
08/12/2024,08/13/2024,Amazon.com*RM3Z107B2,Shopping,Sale,-70.31,
08/11/2024,08/12/2024,AMAZON MKTPL*RM9WE9GB1,Shopping,Sale,-6.48,
08/11/2024,08/12/2024,Whole Foods VND 10444,Groceries,Sale,-317.65,
08/04/2024,08/05/2024,Audible*RF18O8PK0,Bills & Utilities,Sale,-16.18,
08/02/2024,08/02/2024,Payment Thank You-Mobile,,Payment,423.26,
08/01/2024,08/02/2024,Prime Video Channels,Shopping,Sale,-5.40,
07/31/2024,08/01/2024,Amazon Kids+*RV8319QL1,Shopping,Sale,-6.39,
07/29/2024,07/30/2024,Amazon.com*RV3IR8DI2,Shopping,Sale,-19.04,
07/27/2024,07/28/2024,Amazon.com*RV7XA0C51,Shopping,Sale,-19.22,
07/23/2024,07/24/2024,Amazon.com*RJ8L006O2,Groceries,Sale,-287.82,
07/23/2024,07/24/2024,Whole Foods VND 10444,Groceries,Sale,-50.12,
07/20/2024,07/21/2024,Payment Thank You - Web,,Payment,325.00,
07/14/2024,07/15/2024,Amazon.com*RY79N9KI1,Shopping,Sale,-15.14,
07/12/2024,07/14/2024,AMAZON MKTPL*RY1XM9VB1,Shopping,Sale,-14.06,
07/04/2024,07/05/2024,Whole Foods BLW 10637,Groceries,Sale,-63.11,
07/04/2024,07/04/2024,Payment Thank You-Mobile,,Payment,395.61,
07/04/2024,07/04/2024,Audible*R70BP6QM0,Bills & Utilities,Sale,-16.18,
07/01/2024,07/02/2024,Prime Video Channels,Shopping,Sale,-5.40,
06/30/2024,07/01/2024,Whole Foods BLW 10637,Groceries,Sale,-57.67,
06/29/2024,06/30/2024,Whole Foods BLW 10637,Groceries,Sale,-13.44,
06/29/2024,06/30/2024,Whole Foods BLW 10637,Groceries,Sale,-66.57,
06/27/2024,06/28/2024,AMAZON MKTPL*RC1C20JY1,Shopping,Sale,-32.46,
06/25/2024,06/26/2024,AMAZON PRIME*RG3EO0I42,Shopping,Sale,-4.10,
06/25/2024,06/26/2024,AMAZON MKTPL*RG1Z52RK2,Shopping,Sale,-116.85,
06/23/2024,06/24/2024,Whole Foods VND 10444,Groceries,Sale,-183.35,
06/22/2024,06/23/2024,AMAZON MKTPL*PD6M56HU3,Shopping,Sale,-10.81,
06/21/2024,06/21/2024,Payment Thank You-Mobile,,Payment,400.00,
06/15/2024,06/16/2024,AMAZON MKTPL*SU8IT6NN3,Shopping,Sale,-53.02,
06/09/2024,06/10/2024,Whole Foods QRY 10075,Groceries,Sale,-42.30,
06/09/2024,06/10/2024,Whole Foods QRY 10075,Groceries,Sale,-140.78,
06/04/2024,06/04/2024,Audible*WA5T335Q3,Bills & Utilities,Sale,-16.18,
06/03/2024,06/03/2024,Amazon.com*744EG06Q3,Shopping,Sale,-122.54,
06/02/2024,06/03/2024,AMZN Mktp US*E95376IJ3,Shopping,Sale,-21.31,
06/01/2024,06/02/2024,Prime Video Channels,Shopping,Sale,-5.40,
05/28/2024,05/29/2024,Amazon.com*4T0B16BB3,Shopping,Sale,-12.65,
05/26/2024,05/27/2024,Whole Foods VND 10444,Groceries,Sale,-221.45,
05/24/2024,05/24/2024,Payment Thank You-Mobile,,Payment,149.87,
05/20/2024,05/21/2024,AMZN Mktp US*VH53Z7SC3,Shopping,Sale,-10.81,
05/17/2024,05/17/2024,Payment Thank You-Mobile,,Payment,150.00,
05/07/2024,05/08/2024,Amazon.com*JU9334LS3,Shopping,Sale,-45.78,
05/08/2024,05/08/2024,AMZN Mktp US*3A0N07SA3,Shopping,Sale,-31.34,
05/01/2024,05/01/2024,AMZN Mktp US*519S31WR3,Shopping,Sale,-41.12,
04/26/2024,04/26/2024,Payment Thank You-Mobile,,Payment,94.63,
04/18/2024,04/18/2024,Payment Thank You-Mobile,,Payment,100.00,
04/16/2024,04/17/2024,AMZN Mktp US*OM9DG9JI3,Shopping,Sale,-32.46,
04/03/2024,04/04/2024,AMZN Mktp US*P60PY7LR3,Shopping,Sale,-15.49,
